UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women,group_id
uuid_00324,0,0,2876,0,0,0,1,0,0,0,0,0,0,0,4
uuid_00325,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
uuid_00326,0,0,5532,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00327,0,0,3093,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00328,0,71,21,0,0,0,0,1,0,0,0,0,0,2,1
uuid_00329,0,10,0,0,0,186,0,0,0,0,0,220,0,0,2
uuid_00330,0,0,524,0,0,0,0,74,0,0,0,0,0,0,4
uuid_00331,0,580,0,71,0,1,0,3,0,0,0,0,0,0,1
uuid_00332,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0
uuid_00333,0,0,682,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00334,14,10,227,0,22,0,0,272,22,0,0,0,13,18,9
uuid_00335,2,0,1196,0,2,0,0,136,6,0,0,0,7,11,4
uuid_00336,0,0,0,0,0,0,462,0,0,0,0,0,0,0,5
uuid_00337,3,7,168,8,1,4,22,180,0,52,0,53,6,11,3
uuid_00338,0,1,288,0,0,0,0,3,12,1,0,0,11,10,4
uuid_00339,0,8,1,0,0,0,7,89,6,0,39,18,0,0,9
uuid_00340,7,27,13,0,0,0,10,10,0,1,21,44,4,12,3
uuid_00341,0,0,695,0,0,0,0,0,2,0,0,0,0,0,4
uuid_00342,0,7,433,0,0,0,2,31,2,1,0,0,0,1,4
uuid_00343,30,0,0,0,0,4,2130,4,4,0,0,15,2,3,5
uuid_00344,0,1,0,0,0,280,0,0,0,0,0,0,0,0,7
uuid_00345,0,0,4,0,0,0,0,0,0,444,0,0,0,0,3
uuid_00346,0,49,2,390,7,1,5,5,0,28,0,2,0,0,0
uuid_00347,63,1,120,0,79,0,0,90,73,0,0,6,68,89,3
uuid_00348,1,315,0,0,0,0,1,349,1,0,0,0,1,0,9
uuid_00349,10,2,0,0,0,0,2,6,0,10,0,2649,2,1,2
uuid_00350,5,12,312,0,7,0,1,40,23,0,0,32,7,16,4
uuid_00351,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,6
uuid_00352,0,0,0,0,0,0,0,0,0,0,0,254,0,0,2
uuid_00353,0,0,2,0,0,0,0,1,0,0,0,1684,0,0,2
uuid_00354,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,6
uuid_00355,32,2,337,0,45,0,0,65,42,1,0,5,35,52,4
uuid_00356,0,0,0,0,0,2,304,0,0,0,0,0,0,4,5
uuid_00357,1,9,0,0,0,2,1,5,5,2,8,1015,2,2,2
uuid_00358,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
uuid_00359,0,4,0,0,0,0,72,0,0,1,0,3,0,0,5
uuid_00360,0,0,0,0,0,18,281,0,0,0,0,0,0,0,5
uuid_00361,0,2,157,358,0,3,0,0,0,0,0,2,16,0,0
uuid_00362,0,0,0,342,0,8,0,0,0,0,0,0,0,0,0
uuid_00363,1,18,0,0,0,34,160,45,0,4,0,0,2,17,5
uuid_00364,0,111,0,81,0,0,0,1,0,0,0,7,0,0,1
uuid_00365,0,10,0,0,0,0,0,0,0,0,425,2,0,0,6
uuid_00366,0,0,2,377,0,0,0,1,0,0,0,13,0,0,0
